Time,Camera,Person ID,Person,Type,Level,Confidence,Snapshot,Ack
2026-07-28T18:56:47.852313,CAM-05,,Camera offline,offline,err,1.0,,0
2026-07-28T18:56:47.376777,CAM-04,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:56:47.364106,CAM-04,,Camera offline,offline,err,1.0,,0
2026-07-28T18:56:46.576317,CAM-02,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:56:46.560276,CAM-02,,Camera offline,offline,err,1.0,,0
2026-07-28T18:56:45.528579,CAM-01,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:56:45.515044,CAM-01,,Camera offline,offline,err,1.0,,0
2026-07-28T18:56:44.627361,CAM-05,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:56:44.387374,CAM-03,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:56:44.378239,CAM-03,,Camera offline,offline,err,1.0,,0
2026-07-28T18:56:43.529647,CAM-05,,Camera back online,online,ok,1.0,,0
2026-07-28T18:56:43.386508,CAM-05,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:56:43.365519,CAM-05,,Camera offline,offline,err,1.0,,0
2026-07-28T18:56:43.088932,CAM-01,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:56:41.437638,CAM-02,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:56:39.755002,CAM-03,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:56:38.177898,CAM-06,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:56:37.194376,CAM-05,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:56:36.838428,CAM-04,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:54:59.397943,CAM-03,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:54:57.893819,CAM-05,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:54:56.823380,CAM-06,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:54:55.606322,CAM-04,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:54:54.465731,CAM-02,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:54:53.388723,CAM-01,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:47:51.567408,CAM-02,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:47:51.559577,CAM-02,,Camera offline,offline,err,1.0,,0
2026-07-28T18:47:51.441185,CAM-01,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:47:51.431666,CAM-01,,Camera offline,offline,err,1.0,,0
2026-07-28T18:47:50.648528,CAM-03,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:47:50.635544,CAM-03,,Camera offline,offline,err,1.0,,0
2026-07-28T18:47:50.154424,CAM-05,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:47:50.147391,CAM-05,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:47:50.129660,CAM-05,,Camera offline,offline,err,1.0,,0
2026-07-28T18:47:49.493176,CAM-04,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:47:49.478712,CAM-04,,Camera offline,offline,err,1.0,,0
2026-07-28T18:47:48.930174,CAM-05,,Camera back online,online,ok,1.0,,0
2026-07-28T18:47:48.638946,CAM-05,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:47:48.623576,CAM-05,,Camera offline,offline,err,1.0,,0
2026-07-28T18:47:47.682174,CAM-06,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:47:47.664551,CAM-06,,Camera offline,offline,err,1.0,,0
2026-07-28T18:47:22.912007,CAM-03,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:47:21.178197,CAM-05,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:47:20.004825,CAM-06,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:47:18.669591,CAM-04,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:47:17.734514,CAM-02,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:47:16.546957,CAM-01,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:43:08.485684,CAM-01,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:43:08.477949,CAM-01,,Camera offline,offline,err,1.0,,0
2026-07-28T18:43:08.210844,CAM-02,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:43:08.202250,CAM-02,,Camera offline,offline,err,1.0,,0
2026-07-28T18:43:08.021053,CAM-03,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:43:07.999717,CAM-03,,Camera offline,offline,err,1.0,,0
2026-07-28T18:43:07.859522,CAM-03,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:43:07.514049,CAM-04,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:43:07.495431,CAM-04,,Camera offline,offline,err,1.0,,0
2026-07-28T18:43:07.314925,CAM-05,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:43:07.305842,CAM-05,,Camera offline,offline,err,1.0,,0
2026-07-28T18:43:07.023796,CAM-06,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:43:06.979625,CAM-06,,Camera offline,offline,err,1.0,,0
2026-07-28T18:43:06.299815,CAM-05,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:43:05.150321,CAM-06,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:43:03.928895,CAM-04,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:43:02.826941,CAM-02,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:43:01.647818,CAM-01,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:31:14.513539,CAM-03,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:31:14.501288,CAM-03,,Camera offline,offline,err,1.0,,0
2026-07-28T18:31:14.010684,CAM-01,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:31:14.001113,CAM-01,,Camera offline,offline,err,1.0,,0
2026-07-28T18:31:13.049007,CAM-02,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:31:13.036517,CAM-02,,Camera offline,offline,err,1.0,,0
2026-07-28T18:31:11.487007,CAM-04,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:31:11.468697,CAM-04,,Camera offline,offline,err,1.0,,0
2026-07-28T18:31:11.370715,CAM-05,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:31:11.333592,CAM-05,,Camera offline,offline,err,1.0,,0
2026-07-28T18:31:10.889857,CAM-06,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:31:10.843946,CAM-06,,Camera offline,offline,err,1.0,,0
2026-07-28T18:31:07.723495,CAM-06,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:31:06.437831,CAM-05,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:31:05.198292,CAM-02,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:31:03.659568,CAM-03,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:31:02.081155,CAM-04,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:31:01.567287,CAM-01,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:27:28.850650,CAM-06,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:27:27.628639,CAM-05,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:27:26.454027,CAM-01,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:27:26.094633,CAM-03,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:21:58.118963,CAM-01,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:21:58.109357,CAM-01,,Camera offline,offline,err,1.0,,0
2026-07-28T18:21:57.830511,CAM-02,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:21:57.807626,CAM-02,,Camera offline,offline,err,1.0,,0
2026-07-28T18:21:57.469983,CAM-03,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:21:57.458080,CAM-03,,Camera offline,offline,err,1.0,,0
2026-07-28T18:21:57.176916,CAM-03,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:21:56.989292,CAM-04,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:21:56.979393,CAM-04,,Camera offline,offline,err,1.0,,0
2026-07-28T18:21:56.851991,CAM-05,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:21:56.842649,CAM-05,,Camera offline,offline,err,1.0,,0
2026-07-28T18:21:56.263581,CAM-06,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:21:56.217553,CAM-06,,Camera offline,offline,err,1.0,,0
2026-07-28T18:21:55.615353,CAM-05,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:21:54.501196,CAM-06,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:21:53.347718,CAM-04,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:21:52.177791,CAM-02,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:21:51.060502,CAM-01,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:15:38.165151,CAM-01,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:15:38.150830,CAM-01,,Camera offline,offline,err,1.0,,0
2026-07-28T18:15:37.799197,CAM-02,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:15:37.790172,CAM-02,,Camera offline,offline,err,1.0,,0
2026-07-28T18:15:36.490745,CAM-03,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:15:36.482204,CAM-03,,Camera offline,offline,err,1.0,,0
2026-07-28T18:15:36.078178,CAM-04,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:15:36.059445,CAM-04,,Camera offline,offline,err,1.0,,0
2026-07-28T18:15:35.916492,CAM-05,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:15:35.897113,CAM-05,,Camera offline,offline,err,1.0,,0
2026-07-28T18:15:35.243691,CAM-06,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:15:35.223477,CAM-06,,Camera offline,offline,err,1.0,,0
2026-07-28T18:15:34.781824,CAM-06,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:15:33.630836,CAM-05,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:15:32.456895,CAM-01,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:15:30.906627,CAM-02,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:15:29.415261,CAM-03,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:15:29.027591,CAM-04,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:14:22.558718,CAM-05,,Camera offline,offline,err,1.0,,0
2026-07-28T18:14:21.068251,CAM-05,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:14:19.964108,CAM-06,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:14:18.678681,CAM-04,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:14:17.518652,CAM-02,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:14:16.587020,CAM-01,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:11:07.154266,CAM-01,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:11:07.142918,CAM-01,,Camera offline,offline,err,1.0,,0
2026-07-28T18:11:06.817513,CAM-02,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:11:06.809111,CAM-02,,Camera offline,offline,err,1.0,,0
2026-07-28T18:11:06.385565,CAM-04,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:11:06.375851,CAM-04,,Camera offline,offline,err,1.0,,0
2026-07-28T18:11:05.994439,CAM-03,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:11:05.986094,CAM-03,,Camera offline,offline,err,1.0,,0
2026-07-28T18:11:04.757862,CAM-05,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:11:04.741035,CAM-05,,Camera offline,offline,err,1.0,,0
2026-07-28T18:11:04.413762,CAM-06,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:11:04.394121,CAM-06,,Camera offline,offline,err,1.0,,0
2026-07-28T18:11:01.441543,CAM-03,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:11:00.121893,CAM-05,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:10:57.956549,CAM-06,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:10:56.845916,CAM-04,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:10:56.174109,CAM-02,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:10:54.268486,CAM-01,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:08:29.700151,CAM-01,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:08:29.693068,CAM-01,,Camera offline,offline,err,1.0,,0
2026-07-28T18:08:28.880270,CAM-02,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:08:28.873859,CAM-02,,Camera offline,offline,err,1.0,,0
2026-07-28T18:08:28.490618,CAM-03,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:08:28.477847,CAM-03,,Camera offline,offline,err,1.0,,0
2026-07-28T18:08:28.170123,CAM-04,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:08:28.161591,CAM-04,,Camera offline,offline,err,1.0,,0
2026-07-28T18:08:27.684059,CAM-05,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:08:27.659672,CAM-05,,Camera offline,offline,err,1.0,,0
2026-07-28T18:08:26.961323,CAM-06,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T18:08:26.943827,CAM-06,,Camera offline,offline,err,1.0,,0
2026-07-28T18:08:22.421758,CAM-06,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:08:21.229956,CAM-04,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:08:20.102697,CAM-01,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:08:18.621751,CAM-02,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:08:17.123154,CAM-03,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:08:16.783508,CAM-05,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:05:42.656012,CAM-03,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:05:40.867124,CAM-05,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:05:39.528501,CAM-06,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:05:38.297899,CAM-04,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:05:37.219692,CAM-02,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T18:05:36.060052,CAM-01,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:56:10.970430,CAM-03,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:56:09.269926,CAM-05,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:56:07.454786,CAM-06,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:56:06.206837,CAM-04,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:56:04.994755,CAM-02,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:56:03.861131,CAM-01,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:50:54.112227,CAM-06,,Snapshot captured,snapshot,info,1.0,/home/kubuntu/ai_surveillance/snapshots/CAM-06_20260728_175053_841379.png,0
2026-07-28T17:50:51.285195,CAM-02,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T17:50:51.272388,CAM-02,,Camera offline,offline,err,1.0,,0
2026-07-28T17:50:50.761134,CAM-03,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T17:50:50.738208,CAM-03,,Camera offline,offline,err,1.0,,0
2026-07-28T17:50:50.640950,CAM-04,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T17:50:50.617521,CAM-04,,Camera offline,offline,err,1.0,,0
2026-07-28T17:50:50.525829,CAM-05,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T17:50:50.512722,CAM-05,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:50:50.477175,CAM-05,,Camera offline,offline,err,1.0,,0
2026-07-28T17:50:49.309216,CAM-06,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:50:48.142438,CAM-01,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:50:46.627956,CAM-02,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:50:45.125592,CAM-03,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:50:44.547899,CAM-04,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:48:05.402981,CAM-05,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:48:05.301108,CAM-01,,Snapshot captured,snapshot,info,1.0,/home/kubuntu/ai_surveillance/snapshots/CAM-01_20260728_174804_890579.png,0
2026-07-28T17:48:03.844735,CAM-06,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:48:02.555616,CAM-04,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:48:01.364416,CAM-02,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:48:00.111351,CAM-01,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:46:04.729966,CAM-02,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T17:46:04.719278,CAM-02,,Camera offline,offline,err,1.0,,0
2026-07-28T17:46:04.329413,CAM-03,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T17:46:04.318772,CAM-03,,Camera offline,offline,err,1.0,,0
2026-07-28T17:46:03.922307,CAM-04,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T17:46:03.906197,CAM-04,,Camera offline,offline,err,1.0,,0
2026-07-28T17:46:03.058815,CAM-05,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T17:46:03.034570,CAM-05,,Camera offline,offline,err,1.0,,0
2026-07-28T17:45:57.909132,CAM-03,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:45:56.388915,CAM-05,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:45:54.771836,CAM-06,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:45:53.558221,CAM-04,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:45:52.803163,CAM-02,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:45:51.319356,CAM-01,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:40:12.486701,CAM-01,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:40:10.953750,CAM-01,,Camera back online,online,ok,1.0,,0
2026-07-28T17:39:31.553279,CAM-01,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T17:39:31.541693,CAM-01,,Camera offline,offline,err,1.0,,0
2026-07-28T17:39:31.079797,CAM-02,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T17:39:31.072538,CAM-02,,Camera offline,offline,err,1.0,,0
2026-07-28T17:39:30.453503,CAM-03,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T17:39:30.445237,CAM-03,,Camera offline,offline,err,1.0,,0
2026-07-28T17:39:30.022697,CAM-04,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T17:39:29.998321,CAM-04,,Camera offline,offline,err,1.0,,0
2026-07-28T17:39:29.567296,CAM-05,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T17:39:29.542504,CAM-05,,Camera offline,offline,err,1.0,,0
2026-07-28T17:39:25.970530,CAM-03,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:39:24.446681,CAM-01,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:39:22.911581,CAM-04,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:39:21.774640,CAM-06,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:39:20.662260,CAM-02,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:39:20.035540,CAM-05,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:36:19.324885,CAM-05,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:36:17.957255,CAM-06,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:36:16.835434,CAM-04,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:36:15.672482,CAM-02,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:36:14.111094,CAM-01,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:25:35.158377,CAM-04,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T17:25:35.147115,CAM-04,,Camera offline,offline,err,1.0,,0
2026-07-28T17:25:34.611577,CAM-03,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T17:25:34.589090,CAM-03,,Camera offline,offline,err,1.0,,0
2026-07-28T17:25:34.092860,CAM-02,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T17:25:34.079636,CAM-02,,Camera offline,offline,err,1.0,,0
2026-07-28T17:25:32.453256,CAM-05,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T17:25:32.440722,CAM-05,,Camera offline,offline,err,1.0,,0
2026-07-28T17:24:58.532977,CAM-05,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:24:57.369420,CAM-03,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:24:55.828797,CAM-06,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:24:54.225688,CAM-04,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:24:53.078917,CAM-02,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:24:51.842009,CAM-01,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:03:03.205200,CAM-03,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:03:01.578916,CAM-06,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:03:00.426019,CAM-05,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:02:59.217085,CAM-02,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:02:57.634074,CAM-01,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T17:02:56.603357,CAM-04,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T16:36:50.651724,CAM-03,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T16:36:49.142023,CAM-05,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T16:36:47.952144,CAM-06,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T16:36:46.786856,CAM-04,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T16:36:46.404989,CAM-02,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T16:36:44.570643,CAM-01,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T16:26:38.370888,CAM-02,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T16:26:38.360761,CAM-02,,Camera offline,offline,err,1.0,,0
2026-07-28T16:26:37.952980,CAM-03,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T16:26:37.940947,CAM-03,,Camera offline,offline,err,1.0,,0
2026-07-28T16:26:37.201734,CAM-04,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T16:26:37.189549,CAM-04,,Camera offline,offline,err,1.0,,0
2026-07-28T16:26:36.228459,CAM-05,,Camera offline,camera_offline,err,1.0,,0
2026-07-28T16:26:36.200439,CAM-05,,Camera offline,offline,err,1.0,,0
2026-07-28T16:26:33.770440,CAM-03,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T16:26:32.157793,CAM-05,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T16:26:30.930676,CAM-02,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T16:26:29.279388,CAM-06,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T16:26:28.096139,CAM-04,,Camera back online,camera_online,ok,1.0,,0
2026-07-28T16:26:27.293843,CAM-01,,Camera back online,camera_online,ok,1.0,,0
